sample_id,bibkey,name,year,venue,category,boundary,granularity,mechanism
S50,lu2023paretorank,Pareto Rank-preserving Surrogate Models,2023,ACM TACO,Pareto,桥接,Other,Other
S51,10.1145/3676536.3676682,Multi-Objective Software-Hardware Co-Optimization for HD-PIM via Bayesian Optimization,2025,ICCAD,Pareto,前沿,Other,Other
S52,cai_neuralpower_2017,Cai 等：NeuralPower,2017,ACML,建模,核心,Loop/Op,Learned
S53,rodrigues_synergy_2018,Rodrigues 等：SyNERGY,2018,PDPTA,建模,核心,Loop/Op,Learned
S54,guo_neurstrucenergy_2024,Guo 等：NeurstrucEnergy,2024,Digital Commun. Netw.,建模,核心,Loop/Op,Learned
S55,mei_zigzag_2021,Mei 等：ZigZag,2021,IEEE TC,建模,核心,Loop/Op,Analytical
S56,huang_cosa_2021,Huang 等：CoSA,2021,ISCA,建模,核心,Loop/Op,AutoSearch
S57,hegde_mind_2021,Hegde 等：Mind Mappings,2021,ASPLOS,建模,核心,Loop/Op,AutoSearch
S58,symons_stream_2024,Symons 等：Stream,2025,IEEE TC,建模,核心,Loop/Op,Analytical
S59,zheng_tenset_2021,Zheng 等：TenSet,2021,NeurIPS D&B,建模,桥接,Other,Other
S60,zhai_tlp_2023,Zhai 等：TLP,2023,ASPLOS,建模,桥接,Loop/Op,Learned
S61,niu_dnnfusion_2021,Niu 等：DNNFusion,2021,PLDI,图层,核心,Graph,Other
S62,wang_pet_2021,Wang 等：PET,2021,OSDI,图层,桥接,Graph,Other
S63,zheng_einnet_2023,Zheng 等：EINNET,2023,OSDI,图层,桥接,Graph,Other
S64,liu_optimizing_2019,Liu 等：Optimizing CNN Inference on CPUs,2019,USENIX ATC,图层,核心,Graph,Other
S65,jain_checkmate_2020,Jain 等：Checkmate,2020,MLSys,图层,核心,Graph,AutoSearch
S66,peng_capuchin_2020,Peng 等：Capuchin,2020,ASPLOS,图层,桥接,Graph,Other
S67,zheng_flextensor_2020,Zheng 等：FlexTensor,2020,ASPLOS,循环层,桥接,Loop/Op,AutoSearch
S68,ahn_chameleon_2020,Ahn 等：Chameleon,2020,ICLR,循环层,桥接,Loop/Op,AutoSearch
S69,anderson_efficient_2021,Anderson 等：GPU 自动调度,2021,OOPSLA,循环层,桥接,Loop/Op,AutoSearch
S70,feng_tensorir_2023,Feng 等：TensorIR,2023,ASPLOS,循环层,桥接,Loop/Op,Other
S71,shao_tensor_2022,Shao 等：MetaSchedule,2022,ASPLOS,循环层,桥接,Loop/Op,AutoSearch
S72,chen_eyeriss_2019,Chen 等：Eyeriss v2,2019,JETCAS,循环层,核心,Loop/Op,Other
S73,kjolstad_tensor_2017,Kjolstad 等：TACO,2017,OOPSLA,稀疏,核心,Other,Other
S74,chou_format_2018,Chou 等：Format Abstraction,2018,OOPSLA,稀疏,核心,Other,Other
S75,ye_sparsetir_2023,Ye 等：SparseTIR,2023,ASPLOS,稀疏,核心,Other,Other
S76,bik_compiler_2022,Bik 等：MLIR 稀疏张量支持,2022,ACM TACO,稀疏,核心,Other,Other
S77,hsu_sparse_2023,Hsu 等：Sparse Abstract Machine,2023,ASPLOS,稀疏,核心,Other,Other
S78,gale_sparse_2020,Gale 等：Sparse GPU Kernels,2020,SC,稀疏,核心,Other,Other
S79,zhou_learning_2021,Zhou 等：N:M 结构化稀疏,2021,ICLR,稀疏,桥接,Other,Other
S80,pool_channel_2021,Pool \,2021,NeurIPS,稀疏,桥接,Other,Other
S81,frantar_sparsegpt_2023,Frantar \,2023,ICML,稀疏,桥接,Other,Other
S82,lin_mcunet_2020,Lin 等：MCUNet,2020,NeurIPS,TinyML,核心,Other,Other
S83,lin_mcunetv2_2021,Lin 等：MCUNetV2,2021,NeurIPS,TinyML,核心,Other,Other
S84,lin_ondevice_2022,Lin 等：On-Device Training Under 256KB,2022,NeurIPS,TinyML,前沿,Other,Other
S85,garofalo_pulp-nn_2019,Garofalo 等：PULP-NN,2019,Phil. Trans. A,TinyML,核心,Other,Other
S86,capotondi_cmix-nn_2020,Capotondi 等：CMix-NN,2020,IEEE TCAS-II,TinyML,核心,Other,Other
S87,david_tensorflow_2021,David 等：TensorFlow Lite Micro,2021,MLSys,TinyML,核心,Other,Other
S88,burrello_dory_2021,Burrello 等：DORY,2021,IEEE TC,TinyML,核心,Other,Other
S89,banbury_micronets_2021,Banbury 等：MicroNets,2021,MLSys,TinyML,核心,Other,Other
S90,rusci_memory-driven_2020,Rusci 等：Memory-Driven Mixed Precision,2020,MLSys,TinyML,核心,Other,Other
S91,fedorov_sparse_2019,Fedorov 等：SpArSe,2019,NeurIPS,TinyML,桥接,Other,Other
S92,liberis_differentiable_2022,Liberis \,2022,ACM IMWUT,TinyML,桥接,Other,Other
S93,minakova_buffer_2020,Minakova \,2020,DSD,TinyML,核心,Other,Other
S94,xi_smaug_2020,Xi 等：SMAUG,2020,ACM TACO,异构,核心,Placement,Other
S95,kumbhare_prediction_2021,Kumbhare 等：Prediction-Based Power Oversubscription,2021,USENIX ATC,异构,桥接,Placement,Learned
S96,tang_impact_2019,Tang 等：GPU DVFS 对深度学习能耗与性能的影响,2019,ACM e-Energy,功耗,核心,Power,Other
S97,guerreiro_gpgpu_2018,Guerreiro 等：多电压域 GPGPU 功耗建模,2018,IEEE HPCA,功耗,核心,Power,Analytical
S98,kandiah_accelwattch_2021,Kandiah 等：AccelWattch,2021,MICRO,功耗,核心,Power,Analytical
S99,arafa_verified_2020,Arafa 等：NVIDIA GPU 指令级能耗测量,2020,ACM CF,功耗,核心,Power,Other
S100,patel_characterizing_2024,Patel 等：云端 LLM 功耗管理机会刻画,2024,ISCA,功耗,核心,Power,Other
S101,patel_splitwise_2024,Patel 等：Splitwise,2024,ISCA,功耗,核心,Power,Other
S102,stojkovic_dynamollm_2025,Stojkovic 等：DynamoLLM,2025,HPCA,功耗,前沿,Power,Other
S103,venkatakeerthy_ir2v_2020,VenkataKeerthy 等：IR2Vec,2020,ACM TACO,AI4C,桥接,Other,Other
S104,cummins_compilergym_2022,Cummins 等：CompilerGym,2022,CGO,AI4C,桥接,Other,Other
S105,haj-ali_neurovectorizer_2020,Haj-Ali 等：NeuroVectorizer,2020,CGO,AI4C,桥接,Other,Other
S106,zhang_compass_2025,Zhang 等：COMPASS,2025,TASE,AI4C,前沿,Other,Other
S107,taneja_llm-vectorizer_2025,Taneja 等：LLM-Vectorizer,2025,CGO,AI4C,前沿,Other,Other
S108,italiano_finding_2025,Italiano \,2025,CC,AI4C,前沿,Other,Other
S109,reddi_mlperf_2020,Reddi 等：MLPerf Inference,2020,ISCA,测量,核心,Other,Other
S110,mattson_mlperf_2020,Mattson 等：MLPerf Training,2020,IEEE Micro,测量,桥接,Other,Other
S111,banbury_mlperf_2021,Banbury 等：MLPerf Tiny,2021,NeurIPS D&B,测量,核心,Other,Other
S112,tschand_mlperf_2025,Tschand 等：MLPerf Power,2025,HPCA,测量,前沿,Other,Other
S113,khan_rapl_2018,Khan 等：RAPL 适用性研究,2018,ACM TOMPECS,测量,核心,Other,Other
S114,jay_experimental_2023,Jay 等：软件功耗计横向对照,2023,IEEE/ACM CCGrid,测量,核心,Other,Other
S115,fahad_comparative_2019,Fahad 等：计算能耗测量方法比较,2019,Energies,测量,核心,Other,Other
S116,holly_profiling_2020,Holly 等：Jetson 平台能耗剖析,2020,COINS,测量,桥接,Other,Other
S117,gupta_chasing_2021,Gupta 等：Chasing Carbon,2021,HPCA,Pareto,核心,Other,Other
S118,gupta_act_2022,Gupta 等：ACT,2022,ISCA,Pareto,核心,Other,Other
S119,faiz_llmcarbon_2024,Faiz 等：LLMCarbon,2024,ICLR,Pareto,前沿,Other,Other
S120,li_clover_2023,Li 等：Clover,2023,SC,Pareto,前沿,Other,Other
S121,luccioni_power_2024,Luccioni 等：推理部署成本测量,2024,FAccT,Pareto,核心,Other,Other
